gene,location,confidence
ANAPC16,Cytosol,1.0
ANAPC2,Nucleus,3.0
ANAPC4,Cytoskeleton,2.0
ANAPC5,Nucleus,2.0
ANAPC7,Nucleus,2.0
ANAPC7,Cytosol,2.0
ANGEL1,Nucleus,2.0
ANGEL2,Nucleus,2.0
ANGEL2,Mitochondria,2.0
ANGPTL4,Nucleus,2.0
ANGPTL4,Vesicles,2.0
ANK3,Plasma membrane,2.0
ANKAR,Nucleus,2.0
ANKAR,Cytoskeleton,2.0
ANKDD1A,Nucleus,2.0
ANKEF1,Nucleolus,2.0
ANKEF1,Cytosol,2.0
ANKEF1,Plasma membrane,2.0
ANKFY1,Vesicles,3.0
ANKH,Cytosol,2.0
ANKIB1,Cytosol,1.0
ANKIB1,Plasma membrane,1.0
ANKLE1,Nucleus,2.0
ANKLE1,Cytosol,2.0
ANKLE2,Endoplasmic reticulum,4.0
ANKLE2,Plasma membrane,2.0
ANKMY1,Nucleus,2.0
ANKMY1,Nucleus,2.0
ANKMY1,Cytosol,2.0
ANKMY2,Nucleus,2.0
ANKMY2,Cytosol,2.0
ANKRA2,Plasma membrane,2.0
ANKRA2,Plasma membrane,2.0
ANKRD1,Nucleus,1.0
ANKRD1,Nucleolus,1.0
ANKRD10,Cytoskeleton,2.0
ANKRD10,Cytosol,2.0
ANKRD11,Nucleus,1.0
ANKRD11,Cytosol,1.0
ANKRD12,Nucleus,1.0
ANKRD12,Cytosol,2.0
ANKRD13A,Plasma membrane,1.0
ANKRD13B,Vesicles,1.0
ANKRD13D,Nucleus,2.0
ANKRD13D,Mitochondria,2.0
ANKRD16,Endoplasmic reticulum,2.0
ANKRD17,Nucleus,1.0
ANKRD17,Nucleus,2.0
ANKRD18A,Nucleolus,1.0
ANKRD18A,Cytosol,1.0
ANKRD18B,Nucleolus,2.0
ANKRD18B,Cytosol,2.0
ANKRD2,Vesicles,3.0
ANKRD22,Nucleus,2.0
ANKRD23,Nucleus,1.0
ANKRD23,Cytoskeleton,1.0
ANKRD24,Cytoskeleton,0.0
ANKRD24,Cytosol,0.0
ANKRD26,Golgi apparatus,2.0
ANKRD26,Vesicles,2.0
ANKRD27,Cytosol,3.0
